item 1 with tid,item 2 with tid,Correlation coefficient,Type of correlation
1,2,0.16666666666666666,Positive correlation
1,3,0.25,Positive correlation
1,4,0.1875,Positive correlation
1,5,0.0,No relationship between entities
1,6,0.125,Positive correlation
1,7,0.25,Positive correlation
2,3,0.3333333333333333,Positive correlation
2,4,0.16666666666666666,Positive correlation
2,5,0.3333333333333333,Positive correlation
2,6,0.3333333333333333,Positive correlation
2,7,0.16666666666666666,Positive correlation
3,4,0.125,Positive correlation
3,5,0.0,No relationship between entities
3,6,0.25,Positive correlation
3,7,0.25,Positive correlation
4,5,0.25,Positive correlation
4,6,0.125,Positive correlation
4,7,0.25,Positive correlation
5,6,0.5,Positive correlation
5,7,0.0,No relationship between entities
6,7,0.0,No relationship between entities
